Date,DA,RT,Signal,reg_ccp,reg_pcp
2017-07-01-0,21.05,22.770001,-0.55922865,4.19,0.14
2017-07-01-1,20.87,22.95,-0.591062137,7.61,0.15
2017-07-01-2,19.94,20.45,-0.608815427,4.34,0
2017-07-01-3,18.96,19.8,-0.573308846,4.43,0.14
2017-07-01-4,18.43,18.78,-0.49862259,10.47,0.11
2017-07-01-5,18.36,17.63,0.158555249,22.85,1.22
2017-07-01-6,18.27,20.81,0.2996633,5.02,0.76
2017-07-01-7,20.06,21.609999,0.397000306,6.41,0.56
2017-07-01-8,21.57,22.38,0.364860728,5.58,2.99
2017-07-01-9,23.57,25.72,0.292623202,9.08,2.46
2017-07-01-10,25.89,29.869999,0.309458219,23.73,2.04
2017-07-01-11,28.15,29.82,0.243036425,35.47,1.59
2017-07-01-12,29.08,64.359999,0.230180594,104.24,1.35
2017-07-01-13,30.54,39.83,0.158555249,24.98,0.54
2017-07-01-14,31.42,43.39,-0.634527089,9.02,1.33
2017-07-01-15,33.32,32.77,-0.593204775,3.45,1.14
2017-07-01-16,35.51,30.72,-0.585858586,3.8,1.25
2017-07-01-17,33.86,54.12,-0.485460667,37.21,1.04
2017-07-01-18,31.29,51.37,0.184879094,34.71,1.07
2017-07-01-19,30.08,29.450001,0.239669421,16.77,0.41
2017-07-01-20,28.89,27.190001,0.337006428,10.05,2.51
2017-07-01-21,27.76,26.87,0.307621671,9.86,1.31
2017-07-01-22,25.14,23.74,0.411386593,7.93,1.17
2017-07-01-23,22.02,21.84,0.22681359,5.63,2.62
2017-07-02-0,20.65,20.44,-0.596571778,5.17,1.11
2017-07-02-1,20.14,21.09,-0.639424549,4.5,1.11
2017-07-02-2,19.17,19.75,-0.623201714,0.89,0.85
2017-07-02-3,17.69,18.200001,-0.634527089,8.8,1.34
2017-07-02-4,16.68,16.900001,-0.494031221,8.48,0.92
2017-07-02-5,15.7,15.100001,0.288337925,23.84,1.5
2017-07-02-6,15.04,16.79,0.283746556,9.01,2.18
2017-07-02-7,17.6,20.54,0.151821243,8.29,1.22
2017-07-02-8,20.43,21.039999,0.193449648,14.66,1.76
2017-07-02-9,22.57,24.229999,0.261401898,5.71,1.37
2017-07-02-10,25.21,27.699999,0.272421182,9.52,2.07
2017-07-02-11,27.56,31.670001,0.296908479,17.08,1.89
2017-07-02-12,29.87,33.650001,0.331802877,21.25,0.89
2017-07-02-13,33.26,30.8,0.155494337,16.65,0.33
2017-07-02-14,36.48,49.25,-0.625650444,5.95,0
2017-07-02-15,39.67,52.820001,-0.625650444,10.25,0.7
2017-07-02-16,42.4,74.72,-0.625650444,17.84,1.07
2017-07-02-17,45.23,82.84,-0.404958678,38.76,0.78
2017-07-02-18,38.56,34.16,0.196204469,7.62,1.1
2017-07-02-19,36.39,33.789999,0.206917661,9.78,0.68
2017-07-02-20,33.48,32.59,0.257116621,19.81,0.86
2017-07-02-21,29.93,37.679999,0.305785124,29.43,1.66
2017-07-02-22,26.38,24.41,0.310988675,18.89,2.7
2017-07-02-23,23.56,23.6,0.160085706,13.72,1.93
2017-07-03-0,21.64,22.859999,-0.550045914,3.14,2.96
2017-07-03-1,19.73,20.83,-0.613100704,2.19,1.1
2017-07-03-2,18.5,19.59,-0.624426079,2.45,1.59
2017-07-03-3,17.48,18.31,-0.621059076,1.01,1.11
2017-07-03-4,17.4,18.6,-0.513621059,0.74,1.02
2017-07-03-5,18.1,19.599999,0.281603918,3.25,1.16
2017-07-03-6,19.57,20.78,0.322620141,5.57,1.45
2017-07-03-7,21.74,21.630001,0.245485155,3.75,1.13
2017-07-03-8,23.52,24.379999,0.270890725,8.62,1.13
2017-07-03-9,26.11,30.6,0.204468932,14.93,2.13
2017-07-03-10,30.9,31.129999,0.17875727,15.02,1.8
2017-07-03-11,35.76,32.07,0.093051729,17.12,2.45
2017-07-03-12,37.47,73.07,0.236914601,63.62,0.96
2017-07-03-13,40.35,31.79,0.125497398,2.33,0.42
2017-07-03-14,42.08,36.43,-0.562901745,7.52,1.24
2017-07-03-15,45.76,40.57,-0.610345883,6.84,0
2017-07-03-16,48.1,60.370001,-0.61707989,26.23,0
2017-07-03-17,45.43,40.44,-0.418732782,2.88,0
2017-07-03-18,39.87,33.280001,0.215794307,1.01,0.59
2017-07-03-19,36.65,30.530001,0.199265381,4.44,0.26
2017-07-03-20,34.27,30.45,0.217936945,13.87,1.09
2017-07-03-21,30.63,28.200001,0.317722681,13.93,2.2
2017-07-03-22,25.76,25.55,0.27701255,8.6,2.45
2017-07-03-23,23.79,23.76,0.112029385,7.49,3.05
2017-07-04-0,20.79,22.97,-0.59442914,5.06,1.28
2017-07-04-1,19.72,21.589999,-0.524334252,5.37,0
2017-07-04-2,18.56,20.949999,-0.616161616,4.4,0
2017-07-04-3,16.82,17.63,-0.569635751,18.63,0
2017-07-04-4,16.26,19.27,-0.528619529,10.66,1.59
2017-07-04-5,15.37,19.76,0.231098867,9.32,1.54
2017-07-04-6,14.99,17.64,0.318334864,17.84,1.32
2017-07-04-7,18.23,20.16,0.334863789,14.08,1
2017-07-04-8,21.28,20.720001,0.200183655,5.89,2
2017-07-04-9,23.07,22.26,0.180287726,19.09,2.98
2017-07-04-10,24.9,25.72,0.273033364,10.38,1.76
2017-07-04-11,27.45,59.949999,0.318334864,78.32,1.71
2017-07-04-12,29.3,56.68,0.263238445,74.92,1.12
2017-07-04-13,32.19,36.51,0.148148148,20.77,0.76
2017-07-04-14,32.64,39.46,-0.442607897,25.12,1.05
2017-07-04-15,37.13,34.25,-0.560146924,14.91,0.77
2017-07-04-16,37.91,32.59,-0.587082951,18.13,0.99
2017-07-04-17,37.78,40.89,-0.489133762,12.91,0
2017-07-04-18,33.43,28.11,0.21150903,4.38,0
2017-07-04-19,31.99,26.02,0.170186716,10.49,1.18
2017-07-04-20,28.35,24.28,0.267217631,9.39,1.82
2017-07-04-21,27.33,23.29,0.229568411,8.98,1.18
2017-07-04-22,24.57,22.57,0.238445057,7.79,1.67
2017-07-04-23,22.8,21,0.127640037,8.07,1.42
2017-07-05-0,21.08,19.51,-0.552800735,4.98,0.1
2017-07-05-1,20.02,19.96,-0.565044383,3.83,2.23
2017-07-05-2,18.58,17.19,-0.61952862,6.24,0.1
2017-07-05-3,17.42,16.09,-0.581573309,6.34,0.61
2017-07-05-4,17.78,16.93,-0.482399755,3.1,1.42
2017-07-05-5,18.6,18.479999,0.263238445,9.03,1.48
2017-07-05-6,20.25,21.35,0.218855219,5.19,0.84
2017-07-05-7,21.84,21.35,0.283134374,5.14,1.04
2017-07-05-8,23.25,23.36,0.232629324,7.42,1.28
2017-07-05-9,25.7,25.87,0.261707989,10.47,1.83
2017-07-05-10,28.53,28.66,0.299969391,12.81,1.99
2017-07-05-11,31.55,51.98,0.245791246,62.25,1.84
2017-07-05-12,35.39,52.38,0.273033364,28.33,0.47
2017-07-05-13,37.95,67.58,0.314355678,67.89,0.47
2017-07-05-14,39.69,41.139999,-0.551270279,6.17,0
2017-07-05-15,41.47,33.76,-0.618304255,0.05,0
2017-07-05-16,45.01,38.9,-0.626568717,2.72,0
2017-07-05-17,42,35.55,-0.416896235,1.42,0
2017-07-05-18,39.42,34.62,0.201714111,6.12,0.73
2017-07-05-19,35.48,28.779999,0.179675543,2.21,0.45
2017-07-05-20,34.51,29.76,0.235078053,15.56,2.18
2017-07-05-21,29.92,28.89,0.301805938,14.92,1.63
2017-07-05-22,25.24,24.96,0.313437404,11.02,1.08
2017-07-05-23,23.08,23.62,0.125191307,6.54,2.43
2017-07-06-0,20.82,21.09,-0.563513927,4.88,2.52
2017-07-06-1,19.8,20.71,-0.575757576,5.16,0.12
2017-07-06-2,18.82,20.09,-0.587082951,6.07,0.14
2017-07-06-3,17.96,19.15,-0.686868687,5.03,0.06
2017-07-06-4,18.18,19.369999,-0.403734313,9.84,1.67
2017-07-06-5,19.17,21.56,0.301499847,11.87,2.64
2017-07-06-6,21.09,22.01,0.307927762,6.97,1.81
2017-07-06-7,22.28,22.93,0.232935415,10.38,1.72
2017-07-06-8,24.05,24.25,0.330578512,6.08,2.22
2017-07-06-9,25.76,25.4,0.281603918,11.17,1.95
2017-07-06-10,29.53,29.790001,0.256198347,17.72,1.95
2017-07-06-11,33.87,29.19,0.202326293,21.14,1.2
2017-07-06-12,34.87,31.67,0.225589226,3.93,0.94
2017-07-06-13,37.34,37.03,0.136210591,11.4,1.6
2017-07-06-14,39.3,58.91,-0.487297215,16.44,0
2017-07-06-15,40.67,93.48,-0.501989593,25.25,0
2017-07-06-16,41.73,34.92,-0.642179369,0.38,0
2017-07-06-17,41.56,36.96,-0.37771656,3.1,0
2017-07-06-18,35.52,41.679999,0.278849097,13.84,0.16
2017-07-06-19,32.96,36.61,0.215794307,19.77,1.33
2017-07-06-20,32.04,28.570001,0.194367922,7.39,1.04
2017-07-06-21,30.19,29.99,0.229874503,16.61,1.33
2017-07-06-22,24.85,24.44,0.15120906,10.57,0.82
2017-07-06-23,23.06,22.360001,0.136822773,7.13,2.05
2017-07-07-0,21.23,20.13,-0.560759106,9.59,0.51
2017-07-07-1,19.79,20.42,-0.563820018,3.8,1.57
2017-07-07-2,18.74,18.98,-0.585858586,3.89,0.97
2017-07-07-3,17.72,18.489999,-0.601469238,4.75,0
2017-07-07-4,17.8,18.12,-0.463116009,5.03,0.16
2017-07-07-5,18.92,20.71,0.309458219,5.55,2.4
2017-07-07-6,20.21,21.45,0.211815121,7.28,0.66
2017-07-07-7,21.53,22.53,0.277624732,10.78,2.07
2017-07-07-8,22.83,22.809999,0.310682583,13.35,2.25
2017-07-07-9,24.94,25.72,0.255586165,11.75,2.11
2017-07-07-10,27.97,27.37,0.205387205,13.2,1.05
2017-07-07-11,32.51,44.27,0.198653199,46.31,0.75
2017-07-07-12,34.07,29.55,0.217936945,15.71,0.69
2017-07-07-13,36.27,30.819999,0.118151209,7.14,1
2017-07-07-14,37.76,30.450001,-0.600550964,0.01,0
2017-07-07-15,39.97,33.09,-0.626874809,1.18,0
2017-07-07-16,42.35,39.88,-0.654729109,7.48,0
2017-07-07-17,40.03,42.73,-0.416896235,9.63,0
2017-07-07-18,34.81,31.42,0.082950719,8.17,0.82
2017-07-07-19,30.51,27.66,0.242118151,7.94,1.92
2017-07-07-20,28.73,26.86,0.264156719,11.79,1.06
2017-07-07-21,27.99,25.56,0.252525253,8.69,1.23
2017-07-07-22,24.46,22.41,0.273339455,9.19,1.83
2017-07-07-23,21.83,19.61,0.209672482,9.85,1.72
2017-07-08-0,21.5,19.789999,-0.52647689,4.46,0.15
2017-07-08-1,20.61,19.01,-0.598102234,3.88,1.47
2017-07-08-2,19.46,17.92,-0.582185491,5.51,0.18
2017-07-08-3,18.22,16.89,-0.582797674,2.7,1.8
2017-07-08-4,17.95,16.48,-0.47352311,5.75,0.52
2017-07-08-5,17.93,16.27,0.307621671,5.37,0.98
2017-07-08-6,17.71,16.42,0.285583104,5.19,0.81
2017-07-08-7,19.65,18.81,0.259871442,3.96,0.7
2017-07-08-8,22.08,20.949999,0.243954699,6.1,0.81
2017-07-08-9,23.67,22.12,0.312825222,5.01,0.66
2017-07-08-10,26.04,25.35,0.293235384,7.57,1.82
2017-07-08-11,30.22,26.44,0.180899908,11.59,1.64
2017-07-08-12,31.36,26.86,0.284358739,9.97,0.72
2017-07-08-13,33.1,30.54,0.098867463,13.46,1.26
2017-07-08-14,34.03,29.97,-0.570554025,4.65,0.1
2017-07-08-15,35.33,30.46,-0.590143863,0.26,0
2017-07-08-16,38.53,58.93,-0.627486991,19.86,0
2017-07-08-17,37.58,37.830001,-0.415977961,1.83,0
2017-07-08-18,34.07,47.29,0.224977043,31.9,0
2017-07-08-19,30.3,37.58,0.291704928,33.99,1.55
2017-07-08-20,28.21,24.33,0.300275482,10.46,1.39
2017-07-08-21,26.58,24.47,0.302112029,8.81,2.18
2017-07-08-22,23.73,22.21,0.213957759,8.62,1.64
2017-07-08-23,21.2,20.49,0.121212121,8.98,3.01
2017-07-09-0,19.65,20.95,-0.742271197,8.26,1.89
2017-07-09-1,18.96,19.67,-0.646158555,8.66,2.24
2017-07-09-2,18.2,18.2,-0.610651974,3.73,0.14
2017-07-09-3,16.39,17.64,-0.585858586,3.7,3.12
2017-07-09-4,14.62,15.28,-0.556167738,6.24,0.78
2017-07-09-5,13.45,13.84,0.283134374,6.93,1.99
2017-07-09-6,9.23,12.31,0.282522192,14.29,1.13
2017-07-09-7,13.97,17.37,0.3275176,6.29,1.79
2017-07-09-8,19.53,17.1,0.335782063,7.46,1.42
2017-07-09-9,20.76,20.64,0.268135904,11.24,0.83
2017-07-09-10,22.09,20.66,0.272727273,8.68,0.8
2017-07-09-11,23.85,22.09,0.283134374,6.12,1.19
2017-07-09-12,25.37,23.489999,0.315580043,6.98,1.41
2017-07-09-13,27.01,25.67,0.129170493,8.99,1.8
2017-07-09-14,29.74,26.53,-0.555555556,11.13,1.16
2017-07-09-15,30.14,28.2,-0.615243343,6.36,0
2017-07-09-16,33.34,29.880001,-0.6271809,7.35,0
2017-07-09-17,34.08,36.03,-0.48362412,10.81,0.08
2017-07-09-18,32.12,30.08,0.210590756,14.31,1.72
2017-07-09-19,30.21,28.48,0.275788185,13.01,1.53
2017-07-09-20,27.81,25.17,0.300275482,9.23,2.2
2017-07-09-21,26.07,24.63,0.224977043,8.91,1.89
2017-07-09-22,23.03,21.83,0.246403428,7.96,1.97
2017-07-09-23,21.09,18.46,0.155800429,12.96,2.19
2017-07-10-0,18.67,16.81,-0.529843893,6.51,1.29
2017-07-10-1,17.77,15.14,-0.518518519,6.34,0.54
2017-07-10-2,16.98,14.37,-0.537496174,4.07,5.55
2017-07-10-3,14.84,13.719999,-0.572390572,3.83,2.98
2017-07-10-4,15.75,14.23,-0.371288644,3.8,1.23
2017-07-10-5,17.45,17.02,0.336700337,6.58,3.13
2017-07-10-6,18.76,16.71,0.355371901,6.8,1.73
2017-07-10-7,20.76,18.78,0.291704928,7.26,1.36
2017-07-10-8,22.25,19.17,0.248546067,5.24,1.59
2017-07-10-9,24.49,22.480001,0.262626263,14.01,2.04
2017-07-10-10,27.91,25.01,0.203856749,8.23,2.03
2017-07-10-11,32.3,25.309999,0.369146006,9.61,1.74
2017-07-10-12,35.24,27.99,0.34006734,11.05,1.57
2017-07-10-13,38.15,30.39,0.262626263,6.17,0.75
2017-07-10-14,41.12,31.5,-0.576063667,0.24,1.07
2017-07-10-15,42.78,48.66,-0.60208142,9.12,1.18
2017-07-10-16,45.58,46.91,-0.610958066,8.35,0.95
2017-07-10-17,46.92,111.63,-0.508111417,57.94,0.67
2017-07-10-18,40.7,52.61,0.213039486,25.21,0.89
2017-07-10-19,35.99,34.99,0.237832874,3.39,4.71
2017-07-10-20,36.17,36.41,0.265381084,19.61,4.97
2017-07-10-21,30.56,29.73,0.240587695,11.29,4.7
2017-07-10-22,25.15,25.64,0.309152127,7.59,4.79
2017-07-10-23,23.23,22.5,0.202938476,6.98,7.77
2017-07-11-0,21.23,19.95,-0.540250995,5.24,1.21
2017-07-11-1,20.28,20.32,-0.531068258,4.38,0.07
2017-07-11-2,19.35,19.22,-0.497092133,4.9,0.33
2017-07-11-3,18.62,18.6,-0.555555556,4.3,2.6
2017-07-11-4,18.71,18.71,-0.511478421,1.79,1.31
2017-07-11-5,19.63,20.37,0.253749617,4.62,1.12
2017-07-11-6,21.12,21.31,0.249770432,5,0.76
2017-07-11-7,22.32,23.36,0.359963269,3.75,5.03
2017-07-11-8,24.61,25.6,0.330272421,7.01,2.03
2017-07-11-9,26.72,26.17,0.22926232,9.2,3.55
2017-07-11-10,31.42,27.14,0.200795837,9.9,3.64
2017-07-11-11,35.7,29.54,0.181205999,10.23,4.59
2017-07-11-12,38.91,32.7,0.197122743,14.73,1.83
2017-07-11-13,41.1,31.68,0.08815427,0.73,0.88
2017-07-11-14,44.92,38.02,-0.613712886,6.69,0
2017-07-11-15,48.8,41.51,-0.628099174,13.21,0
2017-07-11-16,56.43,40.46,-0.544842363,6.72,0
2017-07-11-17,52.89,35.560001,-0.396082032,0.01,0
2017-07-11-18,43.65,36.89,0.235690236,8.33,4.13
2017-07-11-19,37.9,31.83,0.226507499,3.98,0.97
2017-07-11-20,36.27,30.28,0.187940006,1.58,0.66
2017-07-11-21,33.91,31.06,0.209978574,11.82,3.77
2017-07-11-22,26.76,26.009999,0.279461279,6.62,4.45
2017-07-11-23,24.56,24.3,0.171411081,5.19,6.8
2017-07-12-0,23.73,22.92,-0.609427609,6.27,0.17
2017-07-12-1,22.11,20.95,-0.588919498,3.22,0.13
2017-07-12-2,20.99,18.999999,-0.582797674,4.34,0.14
2017-07-12-3,20.05,18.58,-0.60697888,7.08,0.17
2017-07-12-4,19.8,19.17,-0.507499235,3.26,0.16
2017-07-12-5,20.92,20.95,0.268441996,2.77,3.98
2017-07-12-6,22.81,22.49,0.246709519,5,0.55
2017-07-12-7,24.8,22.409999,0.289868381,4.8,4.77
2017-07-12-8,25.85,23.289999,0.297520661,5.57,5.17
2017-07-12-9,29.03,24.91,0.22405877,5.94,4.79
2017-07-12-10,34.32,26.86,0.250382614,12.29,4.37
2017-07-12-11,39.16,27.8,0.374961739,10.67,1.11
2017-07-12-12,42.83,28.64,0.422405877,0.01,0
2017-07-12-13,44.93,29.84,0.195898378,6.81,0.77
2017-07-12-14,49.34,33.24,-0.646158555,0.01,0
2017-07-12-15,56.03,33.77,-0.611876339,0.01,0
2017-07-12-16,65.47,38.73,-0.616773799,0.01,0
2017-07-12-17,61.99,44.1,-0.436179982,0.84,0
2017-07-12-18,49.28,39.86,0.212427303,16.86,4.05
2017-07-12-19,41.43,40.39,0.232629324,16.34,3.69
2017-07-12-20,39.71,39.7,0.189164371,11.1,3.93
2017-07-12-21,37.53,41.52,0.225589226,30.42,3.96
2017-07-12-22,29.99,28.96,0.372206918,10.82,4.08
2017-07-12-23,26.31,25.62,0.104071013,6.98,5.19
2017-07-13-0,24.66,22.69,-0.56167738,4.95,0
2017-07-13-1,22.64,22.72,-0.617998163,4.36,0
2017-07-13-2,21.25,21.53,-0.588919498,3.39,0.13
2017-07-13-3,20.16,20.18,-0.601469238,4.11,0.08
2017-07-13-4,19.98,20.24,-0.384144475,2.8,0.07
2017-07-13-5,21.21,21.78,0.304254668,4.26,0.41
2017-07-13-6,22.82,23.34,0.265993266,5.79,0.73
2017-07-13-7,24.92,25.82,0.183042547,7.25,1.89
2017-07-13-8,26.91,26.92,0.208754209,6.27,1
2017-07-13-9,30.48,29.670001,0.218549128,9.46,5.08
2017-07-13-10,38.18,32,0.202326293,10.84,4.68
2017-07-13-11,41.6,50.56,0.288644016,46.01,2.95
2017-07-13-12,48.33,38.6,0.279767371,12,3.74
2017-07-13-13,51.32,43.39,0.171411081,9.84,6.5
2017-07-13-14,55.28,54.190001,-0.571166208,3.18,9.75
2017-07-13-15,56.38,38.21,-0.601469238,18.36,5.7
2017-07-13-16,63.53,42.68,-0.594735231,0,8.71
2017-07-13-17,59.51,37.69,-0.444444444,2.59,0.64
2017-07-13-18,48.19,39.88,0.189776553,5.45,4.29
2017-07-13-19,41.93,41.62,0.169268442,11.45,0.87
2017-07-13-20,38.85,37.04,0.230486685,15.6,1.42
2017-07-13-21,35.54,32.45,0.22405877,15.13,4.39
2017-07-13-22,29.88,27.289999,0.302112029,9.49,4.64
2017-07-13-23,25.47,24.38,0.132231405,3.57,4.5
2017-07-14-0,23.68,22.84,-0.558004285,3.52,2.12
2017-07-14-1,22.07,22.1,-0.587082951,11.38,0.18
2017-07-14-2,20.92,21.33,-0.576369758,4.67,0.09
2017-07-14-3,20.04,19.77,-0.594735231,4.19,0.14
2017-07-14-4,19.91,20.61,-0.471686563,5.06,0.06
2017-07-14-5,20.93,22.05,0.225895317,5.25,0.07
2017-07-14-6,22.25,22.86,0.36516682,2.82,3.95
2017-07-14-7,24.35,24.769999,0.2090603,9.62,4.26
2017-07-14-8,26.02,26.309999,0.270890725,4.39,4.67
2017-07-14-9,28.02,28.19,0.212121212,6.97,5.23
2017-07-14-10,32.32,33.59,0.21150903,34.63,6.07
2017-07-14-11,35.68,33.890001,0.213345577,17.5,5.49
2017-07-14-12,36.92,49.129999,0.215488215,29.08,0
2017-07-14-13,39.1,38.89,0.27211509,15.13,0
2017-07-14-14,39.96,37.64,-0.626874809,0,0
2017-07-14-15,41.17,58.98,-0.616467707,0.06,0
2017-07-14-16,42.6,30.53,-0.535965718,0.12,0
2017-07-14-17,41.5,30.6,-0.33761861,1.48,1.07
2017-07-14-18,36.08,33.62,0.208754209,4.81,0
2017-07-14-19,33.18,27.16,0.209978574,9.99,0.93
2017-07-14-20,30.58,26.910001,0.195898378,23.53,5.46
2017-07-14-21,28.71,27.12,0.205693297,7.48,4.51
2017-07-14-22,25.33,24.12,0.248546067,6.34,4.38
2017-07-14-23,22.92,20.23,0.238445057,5.53,5.41
2017-07-15-0,21.09,21.21,-0.350474441,5.95,0.14
2017-07-15-1,20.21,21.29,-0.604224059,5.09,0.54
2017-07-15-2,19.27,18.77,-0.565962657,2.97,0.58
2017-07-15-3,18.26,18.32,-0.539638812,4.71,0.81
2017-07-15-4,17.91,17.85,-0.457606367,4.1,1.03
2017-07-15-5,17.99,17.99,0.291398837,4.18,0.84
2017-07-15-6,17.55,16.79,0.265687175,6.27,0.49
2017-07-15-7,19.47,17.900001,0.338842975,4.29,0.78
2017-07-15-8,21.1,20.82,0.232017141,2.48,5.57
2017-07-15-9,22.75,22.18,0.26691154,0.8,4.76
2017-07-15-10,24.74,24.86,0.294153658,9.07,1.26
2017-07-15-11,27.32,27.97,0.243954699,6.35,4.65
2017-07-15-12,28.82,29.28,0.291704928,8.63,4.05
2017-07-15-13,29.99,30.27,0.159779614,21.07,7.39
2017-07-15-14,31.67,29.2,-0.261707989,9.88,0
2017-07-15-15,32.52,31.43,-0.625956535,10.57,2.55
2017-07-15-16,34.44,30.89,-0.546066728,1.8,0
2017-07-15-17,34.47,61.45,-0.500765228,38.83,0
2017-07-15-18,32.05,31.11,0.213039486,6.71,0.62
2017-07-15-19,29.98,29.93,0.290174472,9.41,5.27
2017-07-15-20,27.94,26.17,0.262626263,8.61,4.43
2017-07-15-21,26.65,26.81,0.302112029,7.72,4.79
2017-07-15-22,23.64,23.43,0.31986532,3.37,4.3
2017-07-15-23,21.41,20.01,0.145087236,6.62,4.58
2017-07-16-0,19.4,19.49,-0.502601775,4.06,0.14
2017-07-16-1,18.95,20.77,-0.550045914,4.93,1.4
2017-07-16-2,16.89,16.9,-0.590449954,7.56,0.17
2017-07-16-3,16.28,17.07,-0.609733701,4.98,1.64
2017-07-16-4,16.23,16.81,-0.429445975,4.18,1.03
2017-07-16-5,15.41,11.38,0.283134374,9.14,4.22
