Date,DA,RT,Signal,reg_ccp,reg_pcp
2017-07-16-6,14.4,5.54,0.258953168,11.63,4.85
2017-07-16-7,15.78,16.01,0.345883073,6.02,4.01
2017-07-16-8,19.09,18.950001,0.34251607,2.4,4.57
2017-07-16-9,21.19,20.94,0.323844506,3.68,5.34
2017-07-16-10,23.13,22.21,0.324456688,2.9,3.4
2017-07-16-11,25.03,24.84,0.241199878,6.1,5.21
2017-07-16-12,27.26,27.6,0.257116621,6.98,4.8
2017-07-16-13,28.37,31.66,0.194674013,16.42,7.32
2017-07-16-14,30.57,34.62,-0.557698194,18.92,0.88
2017-07-16-15,32.6,40.01,-0.636975819,16.98,0
2017-07-16-16,34.4,45.31,-0.470462198,21.24,0
2017-07-16-17,36.25,61.53,-0.494643404,41.52,0
2017-07-16-18,33.25,38.13,0.204162841,11.12,4.45
2017-07-16-19,31.69,44.91,0.309152127,26.08,3.52
2017-07-16-20,29.43,28.75,0.068564432,8.88,4.67
2017-07-16-21,27.83,28.99,0.273033364,16.56,6.5
2017-07-16-22,24.22,25.2,0.302112029,6.55,3.7
2017-07-16-23,21.76,21.1,0.130088766,5,4.39
2017-07-17-0,20.04,21.64,-0.517906336,4.74,2.45
2017-07-17-1,19.2,21.51,-0.519742883,5.36,1
2017-07-17-2,18.87,20.65,-0.584022039,7.99,0.13
2017-07-17-3,18.04,19.38,-0.626874809,3.16,0.77
2017-07-17-4,18.39,19.26,-0.493112948,2.93,1.05
2017-07-17-5,18.84,20.28,0.247627793,5.49,4.72
2017-07-17-6,20.95,20.75,0.264768901,7.15,3.84
2017-07-17-7,22.42,23.53,0.359351087,9.69,5.77
2017-07-17-8,23.73,25.59,0.174471993,4.45,4.57
2017-07-17-9,26.33,34.02,0.197122743,15.06,4.24
2017-07-17-10,30.02,40.03,0.232935415,23.98,3.29
2017-07-17-11,33.79,36.32,0.235690236,19.61,3.81
2017-07-17-12,36.39,57.3,0.198653199,34.7,4.39
2017-07-17-13,38.14,38.08,0.157943067,8.99,2.28
2017-07-17-14,42.56,51.59,-0.638506275,16.56,5.35
2017-07-17-15,43.05,60.93,-0.643403734,24.77,6.43
2017-07-17-16,43.95,52.71,-0.629935721,14.61,5.63
2017-07-17-17,42.87,69.55,-0.558922559,33.94,6.97
2017-07-17-18,37.1,44.32,0.210284665,12.84,4.08
2017-07-17-19,35.52,40.389999,0.21671258,24.44,0.67
2017-07-17-20,33.41,43.9,0.211815121,31.13,5.02
2017-07-17-21,30.09,36.63,0.067340067,26.11,3.64
2017-07-17-22,25.65,25.92,0.149678604,13.57,4.17
2017-07-17-23,23.04,23.31,0.238445057,11.1,5.26
2017-07-18-0,21.76,21.69,-0.509335782,7.25,1.45
2017-07-18-1,20.56,20.56,-0.58432813,2.22,0.82
2017-07-18-2,19.36,19.13,-0.604224059,3.24,0.51
2017-07-18-3,18.59,18.33,-0.625956535,3.21,0.73
2017-07-18-4,18.51,18.61,-0.626262626,1.95,1
2017-07-18-5,19.85,20.89,0.25956535,5.38,4.06
2017-07-18-6,21.6,21.259999,0.265993266,4.01,3.4
2017-07-18-7,22.3,22.7,0.173553719,2.69,4.5
2017-07-18-8,24.61,25.05,0.268135904,6.99,5.04
2017-07-18-9,27.48,28.25,0.214569942,14.56,4.2
2017-07-18-10,31.76,29.71,0.249158249,13.08,3.27
2017-07-18-11,36.09,37.56,0.251606979,29.3,3.27
2017-07-18-12,39.89,35.67,0.215488215,15.3,3.78
2017-07-18-13,41.61,38.670001,0.198347107,12.8,3
2017-07-18-14,42.9,51.189999,-0.47107438,16.89,0
2017-07-18-15,48.78,93.52,-0.625956535,59.27,4.51
2017-07-18-16,54.9,111.41,-0.747780839,83.98,2.04
2017-07-18-17,52.85,101.03,-0.723905724,68.3,3.72
2017-07-18-18,44.74,67.58,0.214569942,31.07,4.49
2017-07-18-19,41.25,51.48,0.218243036,21.18,2.93
2017-07-18-20,39.14,46.09,0.197122743,25.72,4.42
2017-07-18-21,35.41,48.98,0.119375574,39.98,3.89
2017-07-18-22,28.99,30.98,0.199571472,15.33,4.09
2017-07-18-23,25.35,29.45,0.25191307,14.92,6.38
2017-07-19-0,23.39,25.57,-0.498316498,1.37,6.74
2017-07-19-1,22.41,23.87,-0.581267218,3.12,1.01
2017-07-19-2,21.27,22.24,-0.595041322,3.64,0
2017-07-19-3,20.3,21.23,-0.617385981,1.79,1.04
2017-07-19-4,20.46,21.42,-0.550352005,1.58,1.28
2017-07-19-5,21.48,22.4,0.257116621,2.38,4.57
2017-07-19-6,22.54,24.1,0.224977043,7.46,0.47
2017-07-19-7,24.27,25.33,0.282828283,6.9,0.92
2017-07-19-8,26.49,32.22,0.227119682,11.84,3.5
2017-07-19-9,30.85,33.62,0.277930823,14.34,3.44
2017-07-19-10,34.61,36.85,0.400979492,23.33,8.92
2017-07-19-11,41.08,41.369999,0.30731558,22.45,2.85
2017-07-19-12,44.11,51.81,0.228344047,20.13,1.08
2017-07-19-13,46.19,52.25,0.260789715,58.71,3.66
2017-07-19-14,49.28,63.42,-0.534741353,19.99,5.23
2017-07-19-15,52.8,115.62,-0.625038261,79.68,0
2017-07-19-16,61.07,156.65,-0.626262626,125.11,3.98
2017-07-19-17,58.98,59.21,-0.626262626,18.78,0
2017-07-19-18,50.07,69.51,0.211815121,33.91,3.27
2017-07-19-19,45.1,70.86,0.205693297,48.72,2.84
2017-07-19-20,42.22,59.25,0.116314662,36.46,1.18
2017-07-19-21,38.18,70.19,-0.064891338,49.36,3.14
2017-07-19-22,31.62,34.32,0.227425773,18.54,4.91
2017-07-19-23,27.81,29.75,0.221916131,10.32,4.82
2017-07-20-0,25.65,26.75,-0.464340373,4.18,1.39
2017-07-20-1,23.51,22.83,-0.590449954,18.84,1.21
2017-07-20-2,22.07,22.160001,-0.618916437,1.7,0.69
2017-07-20-3,21.13,21.179999,-0.622895623,0.42,0.65
2017-07-20-4,20.96,21,-0.622589532,0.82,1.08
2017-07-20-5,21.81,22.89,0.23171105,11.34,0.96
2017-07-20-6,23.61,24.8,0.273339455,4.57,1.06
2017-07-20-7,26.64,28.59,0.215794307,8.59,4.96
2017-07-20-8,31.22,32.58,0.249158249,12.81,5.06
2017-07-20-9,36.63,33.91,0.214263851,11.22,4.52
2017-07-20-10,46.57,41.48,0.182124273,18.69,3.88
2017-07-20-11,50.51,36.99,0.185185185,3.84,3.11
2017-07-20-12,55.06,60.57,0.216100398,12.97,4.03
2017-07-20-13,67.33,67.81,0.228956229,23.01,3.78
2017-07-20-14,77.31,64.57,0.510254056,23.4,3.21
2017-07-20-15,93.53,53.7,0.215794307,20.82,3.18
2017-07-20-16,108.87,72.6,0.278236915,43.45,3.14
2017-07-20-17,114.03,86.06,0.243342516,34.83,0.88
2017-07-20-18,81.57,78.219999,0.212121212,32.96,0.69
2017-07-20-19,59.12,40.51,0.217018672,0.23,0.72
2017-07-20-20,52.01,39.260001,0.215794307,1.78,0.82
2017-07-20-21,48.01,41.29,0.004591368,24.43,5
2017-07-20-22,36.79,33.76,0.228650138,19.1,4.98
2017-07-20-23,31.23,30.08,0.367309458,14.96,5.18
2017-07-21-0,26.5,25.91,-0.51882461,6.86,1.01
2017-07-21-1,24.51,24.47,-0.611264157,4.79,2.75
2017-07-21-2,22.85,22.89,-0.613406795,3.6,1.49
2017-07-21-3,21.75,21.94,-0.61463116,2.86,1.82
2017-07-21-4,21.44,21.650001,-0.617998163,2.18,1.17
2017-07-21-5,22.46,23.55,0.335782063,5.97,1.26
2017-07-21-6,24.43,24.73,0.266299357,5.83,0.75
2017-07-21-7,26.2,27.54,0.280685644,6.05,4.84
2017-07-21-8,30.37,30.040001,0.269666361,11.11,1.11
2017-07-21-9,34.18,29.86,0.198653199,4.93,5.17
2017-07-21-10,42.32,34.24,0.202326293,10.75,5.69
2017-07-21-11,50.35,34.44,0.215794307,5.7,4.7
2017-07-21-12,53.11,35.5,0.212427303,0,4.57
2017-07-21-13,58.89,51.87,0.205999388,8.77,4.32
2017-07-21-14,66.23,41.45,0.219773493,0.11,3.67
2017-07-21-15,74.26,48.81,0.239057239,0.5,3.89
2017-07-21-16,87.59,51.440001,0.246097337,5.8,0.55
2017-07-21-17,73.25,67.08,0.151515152,16.34,0.65
2017-07-21-18,59.8,68.6,0.214569942,22.25,0.55
2017-07-21-19,50.04,48.15,0.175390266,10.52,0.51
2017-07-21-20,45.83,55.830001,0.108968473,33.53,1.83
2017-07-21-21,42.74,59.39,0.215488215,55.34,6.97
2017-07-21-22,34.11,33.74,0.230180594,19.36,4.55
2017-07-21-23,29.91,27.35,0.179063361,6.26,4.99
2017-07-22-0,25.36,24.89,-0.412610958,4.34,2.81
2017-07-22-1,23.73,23.99,-0.545760637,1.5,3.33
2017-07-22-2,23.01,23.670001,-0.745026018,0.28,7.49
2017-07-22-3,21.76,22.469999,-0.600244873,4.44,0
2017-07-22-4,20.82,21.44,-0.566880931,2.92,0.56
2017-07-22-5,20.7,22.07,0.199571472,0.81,3.85
2017-07-22-6,20.68,21.85,0.247321702,4.15,0.7
2017-07-22-7,22.17,23.66,0.311600857,4.76,4.24
2017-07-22-8,24.6,25.06,0.275176002,4.27,4.12
2017-07-22-9,27.81,27.24,0.310070401,5.54,5.16
2017-07-22-10,33.54,28.98,0.257728803,10.87,2.91
2017-07-22-11,40.06,43.400001,0.210284665,106.06,1.68
2017-07-22-12,43.83,50.72,0.210284665,21.7,0.56
2017-07-22-13,46.29,34.569999,0.216100398,1.08,2.48
2017-07-22-14,50.01,47.700001,0.223140496,11.93,3.86
2017-07-22-15,53.74,39.5,0.218243036,4.4,3.74
2017-07-22-16,54.52,41.079999,0.218855219,2.6,4.76
2017-07-22-17,52.43,48.18,0.177226814,10.21,4.2
2017-07-22-18,45.81,34.139999,0.215794307,0.09,4.61
2017-07-22-19,40.94,31.68,0.215794307,1.08,0.53
2017-07-22-20,34.91,31.87,0.215794307,1.09,0.71
2017-07-22-21,34.97,34.26,0.239057239,17.28,4.32
2017-07-22-22,29.15,27.18,0.215794307,11.88,5.66
2017-07-22-23,26.02,25.01,0.236608509,4.7,4.33
2017-07-23-0,24.62,22.86,-0.359963269,3.86,4.18
2017-07-23-1,23.14,22.78,-0.594735231,3.74,1.63
2017-07-23-2,22.36,22.4,-0.597183961,3.99,1.89
2017-07-23-3,21.36,21.85,-0.601469238,2.97,0.99
2017-07-23-4,20.3,20.8,-0.61707989,2.61,0.89
2017-07-23-5,19.8,20.26,0.215488215,6.06,0.91
2017-07-23-6,19.41,19.85,0.228037955,6.53,0.67
2017-07-23-7,20.5,21.61,0.27456382,0.94,4.61
2017-07-23-8,22.99,23.79,0.220385675,2.5,4.43
2017-07-23-9,24.84,24.74,0.260177533,3.35,4.44
2017-07-23-10,28.63,27.92,0.293235384,5.98,4.94
2017-07-23-11,33.6,31.3,0.284052648,10.66,5
2017-07-23-12,36.39,33.97,0.160085706,12.94,5.09
2017-07-23-13,37.26,30.4,0.185491276,1.22,0.86
2017-07-23-14,40.63,34.649999,-0.49617386,2.1,1
2017-07-23-15,42.79,36.360001,-0.526782981,3.01,0
2017-07-23-16,45.23,52.53,-0.660544842,22.14,0
2017-07-23-17,45.3,29.400001,-0.565350474,0.1,0
2017-07-23-18,41.09,31.680001,0.322620141,10.06,4.32
2017-07-23-19,37.66,32.14,0.215182124,2.04,0.47
2017-07-23-20,36.87,28.560001,0.217324763,8.52,4.5
2017-07-23-21,34.31,27.150001,0.274257729,8.08,3.76
2017-07-23-22,28.53,24.37,0.302112029,6.01,4.08
2017-07-23-23,25.38,23.3,0.207223753,3.39,4.84
2017-07-24-0,23.41,22.7,-0.526170799,3.99,1.74
2017-07-24-1,22.12,21.51,-0.537802265,2.5,1.38
2017-07-24-2,20.68,19.44,-0.569023569,3.21,0.35
2017-07-24-3,19.48,18.46,-0.614325069,3.29,0.67
2017-07-24-4,19.49,19.28,-0.565962657,2.03,0.81
2017-07-24-5,20.84,20.85,0.224977043,1.66,4.32
2017-07-24-6,22.52,23.09,0.22926232,3.35,4.95
2017-07-24-7,23.69,23.37,0.241199878,3.73,4.15
2017-07-24-8,26.02,23.96,0.243342516,2.65,4.17
2017-07-24-9,28.13,26.28,0.245485155,4.08,4.11
2017-07-24-10,31.85,26.8,0.250382614,8.37,1.26
2017-07-24-11,36.18,26.819999,0.263544536,6.53,1.4
2017-07-24-12,37.6,28.07,0.243954699,1.98,0.67
2017-07-24-13,40.84,29.83,0.212733395,0.81,0.74
2017-07-24-14,44.71,36.62,-0.576063667,5.22,0
2017-07-24-15,47.75,37.57,-0.019895929,13.71,3.1
2017-07-24-16,49,39.01,0.221303949,10.84,4.91
2017-07-24-17,47.23,36.76,0.19895929,13.9,5.45
2017-07-24-18,41.25,29.86,0.220691766,0.93,0.68
2017-07-24-19,37,26.19,0.213039486,0.77,0.56
2017-07-24-20,35.8,25.28,0.23415978,9.7,5.2
2017-07-24-21,32.87,24.28,0.251606979,4.55,4.8
2017-07-24-22,26.57,22.420001,0.254055709,4.58,4.59
2017-07-24-23,23.29,19.89,0.204775023,4.23,4.73
2017-07-25-0,20.41,20.53,-0.4634221,7.65,0.99
2017-07-25-1,19.58,20.539999,-0.601775329,4.17,3.25
2017-07-25-2,18.61,19.48,-0.610039792,5.42,0.67
2017-07-25-3,17.84,18.649999,-0.631160086,5.2,0.76
2017-07-25-4,18.08,18.9,-0.531068258,2.33,1.13
2017-07-25-5,19.95,20.22,0.225589226,4.62,2.63
2017-07-25-6,21,19.51,0.217630854,5.75,3.98
2017-07-25-7,21.78,21.66,0.223446587,7.07,4.37
2017-07-25-8,23.38,22.55,0.240893786,2.57,4.47
2017-07-25-9,24.89,22.759999,0.289868381,8.23,5.07
2017-07-25-10,27.25,25.309999,0.205387205,16.63,5.22
2017-07-25-11,28.98,27.74,0.202020202,13.8,1.53
2017-07-25-12,30.5,34.999999,0.224670952,30.38,4.19
2017-07-25-13,33.75,29.650001,0.159473523,1.14,1.05
2017-07-25-14,33.96,50.72,0.042240588,31.37,0.88
2017-07-25-15,39.37,36.269999,0.034588307,7.86,0.75
2017-07-25-16,41.43,55.04,0.149372513,41.19,6.22
2017-07-25-17,43.01,28.690001,-0.044689317,1.18,0.85
2017-07-25-18,34.52,35.98,0.197122743,14.65,0.72
2017-07-25-19,33.17,33.56,0.225283134,21.5,0.37
2017-07-25-20,31.69,27.17,0.263238445,8.74,4.82
2017-07-25-21,27.94,26.360001,0.251606979,7.85,4.51
2017-07-25-22,23.79,21.02,0.264156719,6.86,3.95
2017-07-25-23,21.54,18.96,0.185797368,6.2,5.44
2017-07-26-0,19.26,16.4,-0.578206305,9.89,0.13
2017-07-26-1,17.38,16.02,-0.582185491,8.65,2.63
2017-07-26-2,16.73,17.200001,-0.540863177,4.39,3.91
2017-07-26-3,15.57,15.050001,-0.589225589,6.26,0.14
2017-07-26-4,16.1,16.99,-0.625956535,4.59,1.66
2017-07-26-5,18.08,19.97,0.22161004,3.46,4.74
2017-07-26-6,19.92,20.35,0.229874503,7.56,4.08
2017-07-26-7,20.81,20.82,0.178451178,9.83,4.12
2017-07-26-8,21.93,20.94,0.238445057,7.92,4.28
2017-07-26-9,23.87,23.71,0.272421182,22.01,4.76
2017-07-26-10,26.5,27.03,0.205999388,20.01,2.61
2017-07-26-11,32.32,31.760001,0.183042547,18.58,4.27
2017-07-26-12,34.5,57.16,0.232323232,74.57,3.98
2017-07-26-13,36.78,104.48,0.156412611,175.57,4.98
2017-07-26-14,40.74,35.07,0.012243649,25.47,0.63
2017-07-26-15,43.59,74.260001,-0.007040098,63.62,0.76
2017-07-26-16,47.73,39.660001,0.119681665,23.4,0.59
2017-07-26-17,47.83,36.06,0.354147536,7.88,0.72
2017-07-26-18,43.08,36.65,0.204775023,4.93,0.6
2017-07-26-19,37,28.36,0.21150903,1.1,0.84
2017-07-26-20,37.03,37.95,0.145087236,33.75,5.13
2017-07-26-21,33.02,48.82,0.237526783,54.57,6.06
2017-07-26-22,25.54,23.900001,0.220691766,14.97,4.19
2017-07-26-23,23.13,23.319999,0.191000918,7.16,4.77
2017-07-27-0,20.59,20.81,-0.488521579,6.1,1.33
2017-07-27-1,19.25,20.17,-0.197734925,10.72,1.81
2017-07-27-2,18.44,19.66,-0.543005816,4.82,0
2017-07-27-3,17.69,18.79,-0.55677992,5.28,0.1
2017-07-27-4,18.06,17.21,-0.421487603,5.48,0.61
2017-07-27-5,19.42,19.509999,0.335169881,5.92,4.62
2017-07-27-6,20.34,20.43,0.328435874,4.24,4.05
2017-07-27-7,21.59,21,0.340373431,4.88,4.55
2017-07-27-8,23.33,22.680001,0.2090603,5.48,4.51
2017-07-27-9,25.91,27.86,0.202326293,13.28,4.17
2017-07-27-10,29.53,157.31,0.237220692,328.77,3.55
2017-07-27-11,33.72,28.43,0.194367922,30.16,1.32
2017-07-27-12,35.71,28.52,0.158249158,13.24,4.16
2017-07-27-13,38.58,33.8,0.199265381,2.2,5.51
2017-07-27-14,41.59,49.23,-0.537802265,25.81,0
2017-07-27-15,43.37,33.48,0.187021732,19.29,0.97
2017-07-27-16,46.89,38.22,-0.562289562,2.15,5.78
2017-07-27-17,44.59,31.07,-0.626262626,0.08,6.64
2017-07-27-18,37.9,30.160001,0.230486685,5.68,0.65
2017-07-27-19,34.7,71.64,0.215488215,64.06,0.77
2017-07-27-20,34.6,28.72,0.210590756,7.43,5.83
2017-07-27-21,32.44,28.82,0.218243036,15.61,4.24
2017-07-27-22,25.68,24.450001,0.215794307,19.62,5.09
2017-07-27-23,23.12,22.94,0.142944597,7.16,5.09
2017-07-28-0,21.31,21.3,-0.509029691,5.73,0
2017-07-28-1,20.42,21.5,-0.578206305,4.97,2.23
2017-07-28-2,19.09,20.19,-0.586470768,7.36,0.99
2017-07-28-3,18.39,19.25,-0.615243343,2.79,0.09
2017-07-28-4,18.48,19.41,-0.562595654,5.79,0.1
2017-07-28-5,20.19,21.53,0.226201408,3.76,5
2017-07-28-6,21.71,22.19,0.190388736,4.01,5.32
2017-07-28-7,22.95,23.36,0.217936945,2.89,5.1
2017-07-28-8,23.74,25.94,0.219467401,5.16,5.21
2017-07-28-9,26.61,30.31,0.184266912,11.74,4.71
2017-07-28-10,30.87,30.29,0.13865932,17.25,5.31
2017-07-28-11,33.18,30.56,0.200489746,4.61,6.96
2017-07-28-12,33.94,54.4,0.229568411,31.13,5.01
2017-07-28-13,35.33,31.93,0.160697888,5.35,7.59
2017-07-28-14,34.94,42.29,-0.571472299,11.57,0
2017-07-28-15,35.62,34,-0.586164677,3.05,0
2017-07-28-16,35.94,35.03,-0.60453015,3.66,0
2017-07-28-17,34.6,36.41,-0.563820018,5.45,0
2017-07-28-18,31.46,28.77,0.255892256,7.25,4.66
2017-07-28-19,28.51,28.18,0.254055709,19.31,15.61
2017-07-28-20,26.82,26.93,0.135598408,6.74,4.77
2017-07-28-21,25.89,25.57,0.270890725,18.59,6.46
2017-07-28-22,22.95,22.11,0.194980104,3.91,3.73
2017-07-28-23,21.06,20.68,0.162228344,10.43,3.03
2017-07-29-0,20.16,21.22,-0.540863177,7.28,0.1
2017-07-29-1,18.47,21.28,-0.599632691,3.95,0.14
2017-07-29-2,17.22,20.53,-0.575451485,8.38,0.89
2017-07-29-3,15.78,18.63,-0.618304255,6.3,0
2017-07-29-4,15.63,19.419999,-0.555249464,7.24,0.1
2017-07-29-5,15.62,19.06,0.191613101,3.63,4.47
2017-07-29-6,15.88,18.63,0.221303949,6.39,0.77
2017-07-29-7,17.4,16.300001,0.231404959,5.17,3.47
2017-07-29-8,19.93,19.860001,0.240893786,4.23,4.54
2017-07-29-9,20.8,21.37,0.269054178,4.46,4.39
2017-07-29-10,22.91,22.58,0.28711356,3.93,4.37
2017-07-29-11,24.26,22.4,0.228956229,5.45,4.37
2017-07-29-12,24.48,22.76,0.284970921,3.68,4.85
2017-07-29-13,24.99,23.22,0.253749617,3.35,5.92
2017-07-29-14,25.56,23.7,-0.569635751,4.75,2
2017-07-29-15,25.48,24.81,-0.623201714,9.63,0
2017-07-29-16,25.8,25.09,-0.605142332,8.97,0
2017-07-29-17,25.79,27.73,-0.55922865,3.08,0
2017-07-29-18,25.37,29.229999,0.220997857,12.74,4.77
2017-07-29-19,25.39,25.440001,0.218855219,6.13,6.34
2017-07-29-20,24.34,22.97,0.240893786,4.85,5.03
2017-07-29-21,23.29,22.670001,0.220385675,3.74,5.22
2017-07-29-22,20.85,19.66,0.224670952,6.78,4.64
2017-07-29-23,17.91,16.89,0.271196817,7.11,4.73
2017-07-30-0,22.61,21.25,-0.436486073,4.5,3.37
2017-07-30-1,20.39,19.64,-0.615855525,7.09,0.86
2017-07-30-2,19.22,18.6,-0.61707989,4.94,1.51
2017-07-30-3,18.46,18.22,-0.625956535,6.59,0.06
2017-07-30-4,18.42,18.340001,-0.625956535,3.72,2.21
2017-07-30-5,19.73,18.99,0.167737986,8,4.14
2017-07-30-6,21.57,20.56,0.299051117,69.34,4.21
2017-07-30-7,23.15,22.420001,0.307621671,50.58,4.09
2017-07-30-8,25.47,27.31,0.271196817,49.97,4.42
2017-07-30-9,27.46,26.39,0.260483624,4.49,3.85
2017-07-30-10,32.53,28.93,0.234771962,1.06,4.84
2017-07-30-11,36.09,29.569999,0.248546067,6.79,2.98
2017-07-30-12,38.65,33.84,0.233853688,15.16,4.45
2017-07-30-13,43.74,43.54,0.179675543,23.61,5.11
2017-07-30-14,46.7,42.55,-0.536271809,86.9,3.42
2017-07-30-15,49.75,47.32,-0.611570248,7.84,7.82
2017-07-30-16,54.05,37.77,-0.606366697,48.69,4.61
2017-07-30-17,51.42,33.489999,-0.636363636,50.12,4.63
2017-07-30-18,45.08,31.33,0.185185185,72.25,6.24
2017-07-30-19,39.01,29.28,0.258953168,9.41,6.18
2017-07-30-20,38.91,29.65,0.26201408,22.66,5.76
2017-07-30-21,36.18,29.780001,0.233241506,16.37,4.36
2017-07-30-22,28.08,26.560001,0.35016835,7.49,5.13
2017-07-30-23,24.83,23.56,0.179675543,6.96,4.7
2017-07-31-0,18.53,18.26,-0.507193144,5.06,0.11
2017-07-31-1,17.77,18.6,-0.588307316,11.6,1.82
2017-07-31-2,17.11,16.79,-0.587695133,4.12,0.15
2017-07-31-3,16.23,16.559999,-0.597490052,4.75,0.12
2017-07-31-4,16.9,16.960001,-0.467095194,6.89,0.75
2017-07-31-5,17.78,18.6,0.215794307,2.27,4.96
2017-07-31-6,19.62,19.239999,0.24181206,3.4,4.12
2017-07-31-7,21.17,20.94,0.215488215,9.29,5.17
2017-07-31-8,23.18,22.52,0.32996633,10.03,5.57
2017-07-31-9,25.59,24.42,0.24181206,10.09,4.63
2017-07-31-10,29.79,30.66,0.285583104,17.78,4.79
